League,Home Team,Away Team,Home Score,Away Score,1,X,2
Africa: World Cup - Qualification,Seychelles,Gambia,0,7,41.00,13.00,1.05
Africa: World Cup - Qualification,Algeria,Uganda,2,1,1.48,4.10,7.00
Africa: World Cup - Qualification,Guinea,Botswana,2,2,1.70,3.50,5.50
Africa: World Cup - Qualification,Nigeria,Benin,4,0,1.40,4.50,8.50
Africa: World Cup - Qualification,Somalia,Mozambique,0,1,10.00,4.33,1.38
Africa: World Cup - Qualification,South Africa,Rwanda,3,0,1.22,5.75,17.00
Africa: World Cup - Qualification,D.R. Congo,Sudan,1,0,1.29,5.50,10.00
Africa: World Cup - Qualification,Gabon,Burundi,2,0,1.25,5.50,13.00
Africa: World Cup - Qualification,Ivory Coast,Kenya,3,0,1.09,8.50,34.00
Africa: World Cup - Qualification,Morocco,Congo,1,0,1.05,13.00,41.00
Africa: World Cup - Qualification,Senegal,Mauritania,4,0,1.14,7.00,29.00
Asia: World Cup - Qualification - Fourth stage,Qatar,United Arab Emirates,2,1,2.90,3.20,2.55
Asia: World Cup - Qualification - Fourth stage,Saudi Arabia,Iraq,0,0,1.55,3.90,6.50
Europe: World Cup - Qualification,Estonia,Moldova,1,1,2.15,3.10,3.70
Europe: World Cup - Qualification,Andorra,Serbia,1,3,15.00,6.25,1.17
Europe: World Cup - Qualification,Ireland,Armenia,1,0,1.57,4.00,5.50
Europe: World Cup - Qualification,Italy,Israel,3,0,1.17,7.50,15.00
Europe: World Cup - Qualification,Latvia,England,0,5,34.00,15.00,1.05
Europe: World Cup - Qualification,Portugal,Hungary,2,2,1.20,7.00,12.00
Europe: World Cup - Qualification,Spain,Bulgaria,4,0,1.02,21.00,51.00
Europe: World Cup - Qualification,Turkey,Georgia,4,1,1.65,4.33,5.00
North & Central America: World Cup - Qualification - Third stage,Honduras,Haiti,3,0,2.15,3.00,3.75
North & Central America: World Cup - Qualification - Third stage,Costa Rica,Nicaragua,4,1,1.13,8.50,19.00
Argentina: Torneo Betano - Clausura,Platense,Dep. Riestra,1,1,2.50,2.75,3.30
